term,annotation,p_value,adj_p_value,enrichment,size
biological_process,conjugation,2.2765491426883908e-6,2.959513885494908e-5,1.1186604904199273,1227
biological_process,cell proliferation,5.975239979261608e-4,0.00717028797511393,0.8116755987628873,301
biological_process,cell organization and biogenesis,0.00580117469670746,0.06381292166378207,1.055097716603654,1373
biological_process,development,0.009024785614587472,0.09024785614587472,1.1044286163330739,879
biological_process,cellular component movement,0.009576448489287171,0.09024785614587472,0.93287008655564,1015
biological_process,defense response,0.021862774472082833,0.17490219577666266,1.0849739612614768,848
biological_process,metabolic process,0.07891096274259789,0.5523767391981852,1.0276251675416626,3179
biological_process,coagulation,0.13881345063095374,0.8328807037857224,1.0793591336845942,961
biological_process,cell differentiation,0.1494304931962144,0.8328807037857224,0.9534079146429361,551
biological_process,cell growth,0.1628008732328547,0.8328807037857224,1.0571877279620896,1782
biological_process,cell communication,0.4307843656320392,1,1.0703724454330081,157
biological_process,cellular homeostasis,0.6165608905955349,1,1.0036869687148444,2944
biological_process,cell death,0.7981656768438892,1,1.0512244101587567,169
cellular_component,cytoskeleton,4.961841879623325e-13,5.954210255547989e-12,1.1232396050147022,2112
cellular_component,extracellular,3.060115302825069e-10,3.3661268331075757e-9,1.1777622005344086,1008
cellular_component,Golgi,5.15680857613426e-4,0.005156808576134261,0.7241001399525322,216
cellular_component,cytoplasm,0.00181609829790509,0.01634488468114581,1.101717325360749,1059
cellular_component,endoplasmic reticulum,0.02004259531980835,0.1603407625584668,1.0882003012824222,784
cellular_component,mitochondrion,0.04016239715629717,0.2811367800940802,1.09587710488544,573
cellular_component,cytosol,0.06963699361228902,0.4178219616737341,1.0208603732857442,2236
cellular_component,cell surface,0.15534127730812908,0.7767063865406454,0.9134202017543561,354
cellular_component,membrane,0.16248471422238947,0.7767063865406454,0.9802327109551784,2575
cellular_component,endosome,0.4633465379814475,1,1.0415354288555172,843
cellular_component,chromosome,0.6825815831567228,1,0.6308357569792997,30
cellular_component,nucleus,0.7725012035966414,1,1.006894215393843,3182
molecular_function,RNA binding,1.6654917133629902e-10,1.6654917133629902e-9,0.8108130563543889,1038
molecular_function,catalytic activity,0.02531913965490538,0.22787225689414842,1.1286009361749778,261
molecular_function,signal transducer activity,0.05819830322094377,0.46558642576755016,1.1816201625570915,225
molecular_function,enzyme regulator activity,0.09560732448959755,0.6692512714271829,4.347218222735959,6
molecular_function,motor activity,0.12568860512083793,0.7541316307250276,1.1032159029041797,383
molecular_function,DNA binding,0.512993650817871,1,1.099481886642953,365
molecular_function,protein binding,0.8057339365024397,1,0.9521237152912901,62
molecular_function,antioxidant activity,0.8320170734099711,1,1.0543916179930264,272
wiki_pathway,Hypothesized pathways in pathogenesis of cardiovascular disease,7.370356467189085e-5,0.046212135049275564,2.3162092186141052,10
wiki_pathway,MAPK cascade,8.000131715981154e-5,0.050080824542042025,2.131187964921945,16
wiki_pathway,Parkinson's disease pathway,8.106931533030267e-5,0.05066832208143917,1.9343512408914256,18
wiki_pathway,Fluoropyrimidine activity,1.7593620910451839e-4,0.10978419448121947,-0.22058557262173728,16
wiki_pathway,Cytoplasmic ribosomal proteins,1.78448364334067e-4,0.11117333098012375,0.6561379192990481,69
wiki_pathway,Retinoblastoma gene in cancer,4.045004147967691e-4,0.2515992580035904,0.6699562487747139,50
wiki_pathway,Proteasome degradation,4.1952480777943097e-4,0.26052490563102665,1.575718927767649,45
wiki_pathway,Epithelial to mesenchymal transition in colorectal cancer,5.391118163121635e-4,0.33424932611354136,1.572204336497635,43
wiki_pathway,Canonical and non-canonical TGF-B signaling,8.157736434249719e-4,0.5049638852800576,3.217629372681693,6
wiki_pathway,Supression of HMGB1 mediated inflammation by THBD,9.003830441028208e-4,0.5564367212555432,-1.1109908074012478,5
wiki_pathway,miRNA regulation of p53 pathway in prostate cancer,0.0019051227035130332,1,2.68520539733666,9
wiki_pathway,Photodynamic therapy-induced unfolded protein response,0.0025359671919345005,1,2.154496697986552,11
wiki_pathway,STING pathway in Kawasaki-like disease and COVID-19,0.0028092248207661212,1,-0.7364217689807481,10
wiki_pathway,Altered glycosylation of MUC1 in tumor microenvironment,0.0033731838579256672,1,-1.0652948542925627,4
wiki_pathway,Canonical NF-kB pathway,0.0033731838579256672,1,-1.0652948542925627,4
wiki_pathway,Chromosomal and microsatellite instability in colorectal cancer,0.0033743923848515364,1,1.6453039159148568,35
wiki_pathway,Hedgehog signaling pathway,0.004695628053904481,1,1.7761021861551123,15
wiki_pathway,Parkin-ubiquitin proteasomal system pathway,0.0050391145542025536,1,1.5001261574807054,45
wiki_pathway,DNA damage response,0.005290767168493623,1,1.7947355336160267,31
wiki_pathway,Host-pathogen interaction of human coronaviruses - MAPK signaling,0.006046070577334628,1,1.5516475389074333,17
wiki_pathway,Gastric cancer network 2,0.006242038941079317,1,0.436054501086835,19
wiki_pathway,miRNA regulation of DNA damage response,0.006540744786708656,1,1.7947355336160267,31
wiki_pathway,Pluripotent stem cell differentiation pathway,0.007233792218483895,1,-1.3488565471753,3
wiki_pathway,VEGFA-VEGFR2 signaling pathway,0.008376410304530386,1,1.1950397960312689,230
