Protein accession	Gene	Associated gene ID	Description	Coverage	# Proteins	Proteins in group	miR FASP_# Unique peptides	miR FASP_# Peptides	miR FASP_# PSMs	miR FASP_Protein error probability	miR FASP_q-value	miR FASP_PEP	miR FASP_MS1 precursor area	miR FASP_tmt10plex_126	miR FASP_tmt10plex_126 - # quanted PSMs	miR FASP_tmt10plex_127N	miR FASP_tmt10plex_127N - # quanted PSMs	miR FASP_tmt10plex_127C	miR FASP_tmt10plex_127C - # quanted PSMs	miR FASP_tmt10plex_128N	miR FASP_tmt10plex_128N - # quanted PSMs	miR FASP_tmt10plex_128C	miR FASP_tmt10plex_128C - # quanted PSMs	miR FASP_tmt10plex_129N	miR FASP_tmt10plex_129N - # quanted PSMs	miR FASP_tmt10plex_129C	miR FASP_tmt10plex_129C - # quanted PSMs	miR FASP_tmt10plex_130N	miR FASP_tmt10plex_130N - # quanted PSMs	miR FASP_tmt10plex_130C	miR FASP_tmt10plex_130C - # quanted PSMs	miR FASP_tmt10plex_131	miR FASP_tmt10plex_131 - # quanted PSMs
A2M	NA	ENSG00000175899	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	NA	na	NA	8	9	12	2.874853755573355e-38	0.0	0.00162245	16352434.333333334	0.930830807074245	11	0.772021464969435	11	0.707903988854009	11	0.789387195411552	11	1.15137143542937	11	0.826996046675429	11	0.760178732847342	11	0.91701736567271	11	0.854543633421946	11	0.603476404140484	11
A2ML1	NA	ENSG00000166535	alpha-2-macroglobulin-like 1 [Source:HGNC Symbol;Acc:HGNC:23336]	NA	na	NA	1	1	1	0.0169213	0.0141899	0.7890064999999999	768887.0	0.887330152432326	1	1.09479780129344	1	1.0157434594774	1	1.29660702438037	1	0.973056657814277	1	0.997696101059528	1	1.26868409705732	1	1.13317687425116	1	1.33611556782666	1	1.12558143277205	1
AAAS	NA	ENSG00000094914	achalasia, adrenocortical insufficiency, alacrimia [Source:HGNC Symbol;Acc:HGNC:13666]	NA	na	NA	6	6	11	8.178128730099644e-39	0.0	0.00162245	69955068.0	0.915436990896682	11	0.916836199551183	11	0.941698838939896	11	0.88544134353248	11	0.965729126460487	11	0.847425426889061	11	0.904473477822955	11	1.14627079478433	11	0.92015871221395	11	1.019089204302	11
AACS	NA	ENSG00000081760	acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]	NA	na	NA	10	10	14	5.3669282158882326e-39	0.0	0.00162245	52982638.666666664	0.96245526191104	14	0.947590854699577	14	1.01977053925564	14	0.964200014652402	14	0.963690875567279	14	0.887846978098863	14	1.00208476389661	14	1.06062507803835	14	0.953661694404969	14	0.950616066145275	14
AAED1	NA	ENSG00000158122	AhpC/TSA antioxidant enzyme domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16881]	NA	na	NA	2	2	4	2.40439076e-09	0.0	0.00162245	9078710.666666666	0.900508679946027	4	1.10751066220758	4	1.31041214292136	4	1.11527207267666	4	1.01450612064567	4	1.07518082408031	4	1.02966783708056	4	1.06466009392292	4	1.0366690039719	4	1.24507134739029	4
AAGAB	NA	ENSG00000103591	alpha- and gamma-adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]	NA	na	NA	5	5	10	2.891297265520372e-22	0.0	0.00162245	64895788.666666664	1.07230101858693	10	1.2126029407603	10	0.993777999029608	10	1.05762971893229	10	1.01511504613838	10	1.0637392532722	10	0.912021160518172	10	0.912052854266589	10	1.0656559070064	10	1.08498261123753	10
AAK1	NA	ENSG00000115977	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]	NA	na	NA	31	32	67	6.849554559902602e-158	0.0	0.00162245	88092754.66666667	1.01350831210127	65	0.98433193366552	64	1.02797359945557	66	1.14908644786092	65	0.986735632115981	65	1.03463177873044	65	1.1678986196205	64	1.02933866306218	66	0.991141189894104	66	0.9885753490753	66
AAMDC	NA	ENSG00000087884	adipogenesis associated, Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]	NA	na	NA	1	1	4	1.42364e-10	0.0	0.00162245	15958288.5	1.01533354940026	4	0.95183805960054	4	0.821014003726708	4	1.00455444227539	4	1.01608336611273	4	1.02004517071001	4	0.995490737225623	4	0.94908702126648	4	1.08349125661554	4	1.01378822806453	4
AAMP	NA	ENSG00000127837	angio-associated, migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	NA	na	NA	12	12	36	1.4945056354859366e-85	0.0	0.00162245	175014208.0	1.02019048732674	36	1.10299665636782	36	1.05673811360557	36	1.04348461693974	36	1.03617174554488	36	1.09653353714959	36	0.993688396354127	36	0.982196014216527	36	1.00643993458733	36	1.10581993323741	36
AAR2	NA	ENSG00000131043	AAR2 splicing factor homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:15886]	NA	na	NA	9	9	20	4.103936144826261e-55	0.0	0.00162245	35317156.0	0.985994396231983	20	0.898011438737289	19	1.16015290267578	19	1.096097381607	20	0.987608167443604	19	1.05422714700493	19	1.16976722801304	20	1.04394280372139	20	1.00482361760888	19	1.15728055754476	20
AARS	NA	ENSG00000090861	alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]	NA	na	NA	75	75	363	0.0	0.0	0.00162245	1011340448.0	1.04565140423638	360	1.06343608093824	360	0.946371035314375	359	1.04884049222669	360	1.01001877433128	357	1.01250768561296	361	1.0279397902286	359	0.951718503950992	360	1.04580713370623	360	0.999696441052357	360
AARS2	NA	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]	NA	na	NA	24	25	45	4.19191383559286e-105	0.0	0.00162245	562657404.0	1.03952949641224	43	1.02768144407473	42	0.825794580241979	44	0.987433222361911	44	0.997855336986559	44	0.896657188859795	43	0.991637763606627	44	0.975918053899944	44	1.01706061555719	44	0.941666998214935	44
AARSD1	NA	ENSG00000266967	alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]	NA	na	NA	2	18	44	7.088560627e-15	0.0	0.00162245	18824730.0	0.964494535340922	6	0.927368711699696	6	0.975610564581135	6	1.04278639773429	6	0.940277939741786	6	1.01134647600426	6	0.915013228173467	6	1.02865090629195	6	1.05982112300193	6	1.04576895068837	6
AASDH	NA	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]	NA	na	NA	2	2	2	2.1062276819999997e-05	0.000532854	0.17043750000000002	2687376.0	1.01081685125919	2	0.941518228261215	2	1.16288693231254	2	1.16978809373539	2	1.0336615253622	2	1.05083141696493	2	1.19923469168111	2	0.9633217835983	2	1.10443407845199	2	1.03323433593203	2
AASDHPPT	NA	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	NA	na	NA	9	9	28	3.1589354095446365e-37	0.0	0.00162245	191758901.33333334	1.04055489411824	27	0.870690647047232	26	1.03182770657805	27	0.694920581441771	28	1.01014676147796	28	1.06278239116946	28	0.676060307240514	27	0.946259879761652	28	0.860733721889703	28	1.09356220084177	28
AASS	NA	ENSG00000008311	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	NA	na	NA	4	4	6	5.429630167458928e-10	0.000269579	0.0520118	6067481.333333333	1.06507459577948	6	1.07972702333539	6	0.965425399559899	6	1.14186540478114	6	0.957378372478412	6	1.00067674618407	6	0.949584826855921	6	0.955713970089551	6	1.12256401399087	6	1.04442767537571	6
