protein,imputed,n,average_expression,proportional_expression,foldchange,log2_foldchange,p_value,adj_p_value,normalization,abundance_control_1,abundance_control_2,abundance_control_3,abundance_knockdown_1,abundance_knockdown_2,abundance_knockdown_3,description,biological_process,cellular_component,molecular_function,gene_id_entrez,gene_name,wiki_pathway,reactome_pathway,gene_id_ensemble
Q5SVJ8,0.3333333333333333,6,755886.14111328125,2.9259944407410473e-6,52.112573032503505,5.703559583769082,1,1,raw,32688.91796875,1257341.5,30010.521484375,NA,1703503.625,NA,BK channel OS=Homo sapiens OX=9606 GN=KCNMA1 PE=1 SV=2,conjugation,cytoplasm;cytoskeleton,catalytic activity,NA,KCNMA1,Splicing factor NOVA regulated synaptic proteins,NA,ENSG00000156113
Q15011,0,6,4919331.8125,1.9042467843551092e-5,48.62284101543182,5.6035622868786215,1,1,raw,142625.28125,NA,NA,6934846.375,4679589.53125,7920266.0625,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein OS=Homo sapiens OX=9606 GN=HERPUD1 PE=1 SV=1,cell organization and biogenesis;cellular homeostasis;coagulation;conjugation;development;metabolic process,cytoskeleton;extracellular;nucleus,structural molecule activity,9709,HERPUD1,VEGFA-VEGFR2 signaling pathway; Exercise-induced circadian regulation,ATF4 activates genes in response to endoplasmic reticulum  stress,ENSG00000051108
F6SA91,0.16666666666666666,6,879217.87109375,3.4034049086169838e-6,39.64303290359079,5.308995435504322,1,1,raw,NA,43265.3671875,NA,NA,1715170.375,NA,TNF receptor-associated factor OS=Homo sapiens OX=9606 GN=TRAF4 PE=1 SV=1,development;metabolic process,cytosol;membrane,antioxidant activity;structural molecule activity,NA,TRAF4,Small cell lung cancer; p53 transcriptional gene network,NA,ENSG00000076604
Q9NXV2,0,6,3103100.40625,1.2011934131212043e-5,19.63113476730982,4.295071664321758,0.004166260710061297,0.6429522395902524,raw,250906.71875,223317.671875,1541568.640625,5743636.53125,4383979.3125,6475193.5625,BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens OX=9606 GN=KCTD5 PE=1 SV=1,cell growth;cell organization and biogenesis;cellular homeostasis,cytosol;membrane;nucleus,structural molecule activity,54442,KCTD5,NA,NA,ENSG00000167977
Q13751,0,6,1072517.087890625,4.151655740302085e-6,11.925955200028053,3.576032917273675,1,1,raw,NA,109616.0703125,NA,1307276.34375,1267339.625,1605836.3125,Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1,cell communication;cell growth;defense response;metabolic process,cell surface;chromosome,enzyme regulator activity;structural molecule activity,3914,LAMB3,Alpha 6 beta 4 signaling pathway; Focal adhesion; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Small cell lung cancer; Malignant pleural mesothelioma,Degradation of the extracellular matrix; Non-integrin membrane-ECM interactions; Laminin interactions; MET activates PTK2 signaling; Anchoring fibril formation; Type I hemidesmosome assembly,ENSG00000196878
O00308,0,6,733271.7421875,2.8384553234871175e-6,10.137466396525822,3.341625227120697,1,1,raw,175167.4296875,NA,187676.171875,NA,NA,1836971.625,NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Homo sapiens OX=9606 GN=WWP2 PE=1 SV=2,cell organization and biogenesis;cellular component movement;cellular homeostasis;conjugation;metabolic process,cytosol;membrane;nucleus,structural molecule activity,11060,WWP2,NA,RHOQ GTPase cycle; Regulation of PTEN stability and activity; RHOJ GTPase cycle; NOTCH3 Activation and Transmission of Signal to the Nucleus; RHOU GTPase cycle,ENSG00000198373
Q9BY50,0,6,2049680.1171875,7.934201068106747e-6,9.754702958926417,3.2860979419057035,1,1,raw,NA,NA,297960.6875,2906518,1700474.5625,3293767.21875,Signal peptidase complex catalytic subunit SEC11C OS=Homo sapiens OX=9606 GN=SEC11C PE=1 SV=3,cell organization and biogenesis;cellular homeostasis,cytoskeleton;extracellular,structural molecule activity,90701,SEC11C,NA,"SRP-dependent cotranslational protein targeting to membrane; Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1); Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP); Synthesis, secretion, and deacylation of Ghrelin",ENSG00000166562
Q8TBM8,0.3333333333333333,6,3374207.1145833335,1.3061373561683168e-5,8.717821154586485,3.1239676072204983,0.004373588384430993,0.6429522395902524,raw,465368.15625,1666471.25,658408.34375,5739886.1875,4817677.9375,6897430.8125,DnaJ homolog subfamily B member 14 OS=Homo sapiens OX=9606 GN=DNAJB14 PE=1 SV=1,cell growth;cell organization and biogenesis;cellular homeostasis;coagulation;metabolic process,cytoskeleton;extracellular;membrane,structural molecule activity,79982,DNAJB14,NA,NA,ENSG00000164031
Q5JUW8,0,6,1745372.6223958333,6.756243185819272e-6,7.982569822410107,2.996853266900193,0.023211883046773425,0.6429522395902524,raw,668091.46875,169792.015625,415131.3125,3313814.6875,2151800.3125,3753605.9375,"Discs, large homolog 3 (Neuroendocrine-dlg, Drosophila), isoform CRA_b OS=Homo sapiens OX=9606 GN=DLG3 PE=1 SV=1",NA,NA,NA,NA,DLG3,NA,NA,ENSG00000082458
Q5T9L3,0.16666666666666666,6,961925.59375,3.723562037496361e-6,7.9707989332363445,2.994724336417917,1,1,raw,NA,214457.0625,NA,NA,NA,1709394.125,Protein wntless homolog OS=Homo sapiens OX=9606 GN=WLS PE=1 SV=2,cell death;conjugation;defense response;development;metabolic process,cell surface;cytoplasm;cytoskeleton;cytosol;extracellular;mitochondrion;nucleus,structural molecule activity,79971,WLS,NA,WNT ligand biogenesis and trafficking,ENSG00000116729
Q03938,0.5,6,160268.03662109375,6.203889166311947e-7,7.464763829187416,2.90009661697737,0.22373656193170513,0.7125799511687476,raw,NA,138453.203125,18309.974609375,243098.6875,NA,241210.28125,Zinc finger protein 90 OS=Homo sapiens OX=9606 GN=ZNF90 PE=2 SV=3,cellular component movement;metabolic process,membrane,RNA binding;structural molecule activity,7643,ZNF90,NA,NA,ENSG00000213988
O95833,0.16666666666666666,6,3424853.2447916665,1.32574219972536e-5,7.12737601668001,2.833371038172116,0.02983218414527696,0.6429522395902524,raw,549399.65625,768449.828125,1193801.390625,7902578.5625,4657859.15625,5477030.875,Chloride intracellular channel protein 3 OS=Homo sapiens OX=9606 GN=CLIC3 PE=1 SV=2,conjugation;development;metabolic process,cytoskeleton;membrane;nucleus,catalytic activity,9022,CLIC3,NA,NA,ENSG00000169583
Q9Y385,0,6,1415381.1979166667,5.4788641984281575e-6,7.104180101255999,2.8286681565606697,0.012625102155397057,0.6429522395902524,raw,362818.828125,485948.71875,270601.25,2746177.5625,1922400.015625,2704340.8125,Ubiquitin-conjugating enzyme E2 J1 OS=Homo sapiens OX=9606 GN=UBE2J1 PE=1 SV=2,cell organization and biogenesis;cellular homeostasis;coagulation;metabolic process,cytoskeleton;extracellular;membrane,structural molecule activity,51465,UBE2J1,Parkin-ubiquitin proteasomal system pathway; Parkinson's disease pathway,Antigen processing: Ubiquitination & Proteasome degradation,ENSG00000198833
Q14534,0.3333333333333333,6,4560341.53125,1.7652835847294996e-5,7.020782208563216,2.8116317749099564,0.015423862857352595,0.6429522395902524,raw,1259314.421875,1210312.59375,1157762.671875,8497341.125,6246440.25,8990878.125,Squalene monooxygenase OS=Homo sapiens OX=9606 GN=SQLE PE=1 SV=3,cell growth;cellular homeostasis;metabolic process,cytoskeleton;extracellular;nucleus,structural molecule activity,6713,SQLE,Cholesterol biosynthesis pathway; Sterol regulatory element-binding proteins (SREBP) signaling; Statin inhibition of cholesterol production; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Cholesterol synthesis disorders,Activation of gene expression by SREBF (SREBP); Cholesterol biosynthesis,ENSG00000104549
Q9Y536,0.3333333333333333,6,303009.033203125,1.1729316075842592e-6,6.748215190314311,2.7545059797086586,0.2917035392225426,0.7730231021500684,raw,307525.09375,NA,33704.9140625,403701.0625,467105.0625,NA,Peptidyl-prolyl cis-trans isomerase A-like 4A OS=Homo sapiens OX=9606 GN=PPIAL4A PE=2 SV=1,cell organization and biogenesis;cellular homeostasis;metabolic process,nucleus,structural molecule activity,653505,PPIAL4A,NA,NA,ENSG00000263353
O00214,0.3333333333333333,6,1332337.0078125,5.157404622224314e-6,6.487782666558195,2.697725491699087,0.00817691816810148,0.6429522395902524,raw,354546.21875,250573.671875,494382.40625,2683800.1875,2300218.8125,1910500.75,Galectin-8 OS=Homo sapiens OX=9606 GN=LGALS8 PE=1 SV=4,cellular homeostasis;coagulation;defense response;metabolic process,cell surface;cytosol;nucleus,antioxidant activity;structural molecule activity,3964,LGALS8,NA,NA,ENSG00000116977
